recording,monkey,session,day,lfp,raw_trials,valid_trials,go_sample_zero_based,old_converted_go_sample,start_sample,end_sample_exclusive,source_pair_index,source_sha256,status,fit_seconds,minimum_short,minimum_long,main_included,matched_included,fit_error,short_successful_fit_fraction,short_trials,matched_short_successful_fit_fraction,matched_short_trials,matched_long_successful_fit_fraction,matched_long_trials
monkeyM_session-o080410008-13_lfp-1,M,o080410008-13,2008-04-10,1,120,120,5000,4500,4500,5000,69,547c12a26115e8e2aadd04a6fed14ab92f018a385e31bea15c654b02c8d0604f,fewer_than_15_short_trials_per_direction,0.02441468194592744,0,0,False,False,,,,,,,
monkeyM_session-o080410008-13_lfp-2,M,o080410008-13,2008-04-10,2,120,120,5000,4500,4500,5000,66,1809ab9e577dbf4b662e8b7cad4ec7eaff3a550f47405ea9aa53ee2ac8ed0ab6,fewer_than_15_short_trials_per_direction,0.029502863995730877,0,0,False,False,,,,,,,
monkeyM_session-o080410017-23_lfp-1,M,o080410017-23,2008-04-10,1,98,98,5000,4500,4500,5000,77,33ef0b37c5f134f5927f303e77fc36fb9b003e8b8e54c2cbadc1024a4df156be,fewer_than_15_short_trials_per_direction,0.023826948017813265,0,0,False,False,,,,,,,
monkeyM_session-o080410017-23_lfp-2,M,o080410017-23,2008-04-10,2,98,98,5000,4500,4500,5000,76,45c19625897c56b41883ec2faa36e966205c3a441b24501891f7e044f8a0bf18,fewer_than_15_short_trials_per_direction,0.026865769003052264,0,0,False,False,,,,,,,
monkeyM_session-o080411001-6_lfp-2,M,o080411001-6,2008-04-11,2,97,97,5000,4500,4500,5000,84,371709dc16b33717a8467a3f13192257c49956d37e1f08d1abb81b227d84523e,fewer_than_15_short_trials_per_direction,0.027418784971814603,0,0,False,False,,,,,,,
monkeyM_session-o080411001-6_lfp-4,M,o080411001-6,2008-04-11,4,97,97,5000,4500,4500,5000,83,1bff81e47e45b783c71ecdffdcea756716689c0bbc2e11ef5ff451757f93e797,fewer_than_15_short_trials_per_direction,0.028423669980838895,0,0,False,False,,,,,,,
monkeyM_session-o080411007-14_lfp-1,M,o080411007-14,2008-04-11,1,86,86,5000,4500,4500,5000,88,449bf10461a534acb4195f4bd57f46fd349fc63efd4e4161ce624d9bc18fa6a7,fewer_than_15_short_trials_per_direction,0.02581383497454226,0,0,False,False,,,,,,,
monkeyM_session-o080415001-7_lfp-1,M,o080415001-7,2008-04-15,1,89,89,5000,4500,4500,5000,97,cdb15adf83bf45f52c46bdd2d87fa109142044ceade1ddd0f6b85073ea84a096,fewer_than_15_short_trials_per_direction,0.025913930032402277,0,0,False,False,,,,,,,
monkeyM_session-o080415008-14_lfp-1,M,o080415008-14,2008-04-15,1,100,100,5000,4500,4500,5000,101,cf04e2c2d70359e73adc8d54ee674a5fdd9e87337bcd1a07f29587f92593813c,fewer_than_15_short_trials_per_direction,0.027282751980237663,0,0,False,False,,,,,,,
monkeyM_session-o080416002-18_lfp-1,M,o080416002-18,2008-04-16,1,289,289,5000,4500,4500,5000,104,17d599f109dc71c1668cbd0a602a89c724eb10b6b577719d6b3842591eab2de7,eligible,102.5674628400011,24,24,True,True,0.20999608826885258,0.9916666666666667,144.0,0.9916666666666667,144.0,0.9916666666666667,144.0
monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2008-04-16,2,289,289,5000,4500,4500,5000,103,0fdf575154924fd5ff3cd73c1e22f09dffcf4c441582862e1ee796aef64e1f40,eligible,84.81004064297304,24,24,True,True,0.18832030840315286,0.9972222222222222,144.0,0.9972222222222222,144.0,0.9958333333333333,144.0
monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,2008-04-17,1,259,259,5000,4500,4500,5000,111,3cf959128d0bfdf3d734aa5e438d310b3d352fe2821124db2eb7a90ed9a6e287,eligible,198.21643176698126,21,20,True,True,0.22942594439276234,0.9857142857142858,126.0,0.985,120.0,0.985,120.0
monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,2008-04-17,4,259,259,5000,4500,4500,5000,109,aba633e83766ddb3ec6b8d9a9e1784882b571c799a2f767bd4e199c3b8b2484f,eligible,100.65466367598856,21,20,True,True,0.19077589541709283,1.0,126.0,0.9983333333333333,120.0,0.9983333333333333,120.0
monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2008-04-22,2,263,263,5000,4500,4500,5000,113,50d248f499fc090f58db31dd5f26b8a54f0d5d22264f71d759eb18d1edac850d,eligible,82.55086311302148,20,20,True,True,0.14174755078380535,0.9933333333333333,120.0,0.9933333333333333,120.0,0.985,120.0
monkeyM_session-o080423001-5_lfp-6,M,o080423001-5,2008-04-23,6,214,214,5000,4500,4500,5000,116,cedec9b2dfcde7cfe55628895cf0d0241457a44e7ff935443e3fd1e432dd0d7b,eligible,116.69939679501113,16,15,True,True,0.20089864635720506,0.9958333333333333,96.0,0.9888888888888889,90.0,0.9866666666666667,90.0
monkeyM_session-o080423001-5_lfp-8,M,o080423001-5,2008-04-23,8,214,214,5000,4500,4500,5000,114,2bf26754ea66760c1b4b7ba555e5517b1a9c517d22e31667fd9ca1d2f84f7f94,eligible,105.62110705499072,16,15,True,True,0.1732532341392136,0.9895833333333334,96.0,0.9888888888888889,90.0,0.9955555555555555,90.0
monkeyM_session-o080424002-11_lfp-1,M,o080424002-11,2008-04-24,1,241,241,5000,4500,4500,5000,117,fdd2fd436253df56c32e4f26db54d9d777536d9baddbe732d6952a269545428c,eligible,132.40000586898532,20,20,True,True,0.13384356669371045,0.985,120.0,0.985,120.0,0.99,120.0
monkeyM_session-o080424012-22_lfp-1,M,o080424012-22,2008-04-24,1,284,284,5000,4500,4500,5000,120,e8b6c98ac6a37c3a57de4151b73bc3aff308c2520406f69ece6653b5d2e52712,eligible,136.3333522109897,22,23,True,True,0.15987601463919815,0.9787878787878788,132.0,0.9787878787878788,132.0,0.9924242424242424,132.0
monkeyM_session-o080425003-12_lfp-1,M,o080425003-12,2008-04-25,1,241,241,5000,4500,4500,5000,121,d4fc6c434f918422bc59c110d18f56a9179720c2689df4eaac7f8b571430a59f,eligible,112.26717120601097,20,20,True,True,0.19475986218789995,1.0,120.0,1.0,120.0,0.9916666666666667,120.0
monkeyM_session-o080425013-21_lfp-1,M,o080425013-21,2008-04-25,1,168,168,5000,4500,4500,5000,130,e9e02a349ab7609cc6cff2985c56e31998cb1645b9d5d64e3b165d78f8aff8b2,fewer_than_15_short_trials_per_direction,0.05960958398645744,13,12,False,False,,,,,,,
monkeyM_session-o080429002-7_lfp-2,M,o080429002-7,2008-04-29,2,250,250,5000,4500,4500,5000,135,b0e7ae3e90a03bbba9144e97e2c4c54b3511bd00aa994c194ea032dd9081e1a7,eligible,129.30701544199837,20,20,True,True,0.23549352819180017,0.9933333333333333,120.0,0.9933333333333333,120.0,0.9833333333333333,120.0
monkeyM_session-o080429011-12_lfp-2,M,o080429011-12,2008-04-29,2,101,101,5000,4500,4500,5000,137,882eb2e1487c2de2be925881e1697f7aa9d9c628248efe6c192caf2a208f122d,fewer_than_15_short_trials_per_direction,0.010487235034815967,0,0,False,False,,,,,,,
monkeyM_session-o080430002-12_lfp-1,M,o080430002-12,2008-04-30,1,250,250,5000,4500,4500,5000,144,8693ece17143fa5a088e3f791346a22aef168a29b62464fb0a17e1f6562f781d,eligible,135.94768371299142,20,20,True,True,0.21644903741955646,0.99,120.0,0.99,120.0,0.9883333333333333,120.0
monkeyM_session-o080430013-23_lfp-1,M,o080430013-23,2008-04-30,1,254,254,5000,4500,4500,5000,150,5b413c1601036250c8eb692c71c92b42422d1af6afacb87f14d92955efcf2d6a,eligible,106.970685177017,20,20,True,True,0.23248691835317797,0.9966666666666667,120.0,0.9966666666666667,120.0,0.9983333333333333,120.0
monkeyM_session-o080430013-23_lfp-2,M,o080430013-23,2008-04-30,2,254,254,5000,4500,4500,5000,149,edb94acbe45c58629803751eca2f05f213b513a9dcd5c8a0be324977a5a60770,eligible,113.78575971897226,20,20,True,True,0.2129522073960246,0.9933333333333333,120.0,0.9933333333333333,120.0,0.9933333333333333,120.0
monkeyM_session-o080501001-6_lfp-1,M,o080501001-6,2008-05-01,1,146,146,5000,4500,4500,5000,156,90d6e651001d591758be9e6573d92d5d1cb8fec0643dbd08ad440297aa554e8e,fewer_than_15_short_trials_per_direction,0.03649902599863708,10,9,False,False,,,,,,,
monkeyM_session-o080501018-21_lfp-6,M,o080501018-21,2008-05-01,6,103,103,5000,4500,4500,5000,161,136c5fe71f3a9b5d3ac81d62fad707c0234f3939525bec11321d62e4326567da,fewer_than_15_short_trials_per_direction,0.012735010008327663,0,0,False,False,,,,,,,
monkeyM_session-o080501018-21_lfp-7,M,o080501018-21,2008-05-01,7,103,103,5000,4500,4500,5000,163,3ab75559175de7f824c6505ff44a1105abd233d9a348b9e473948118c43ac11a,fewer_than_15_short_trials_per_direction,0.017067710985429585,0,0,False,False,,,,,,,
monkeyM_session-o080506002-22_lfp-1,M,o080506002-22,2008-05-06,1,410,410,5000,4500,4500,5000,168,f83fa2a94b1ddb2e6569e95b088d253765c9653b823f4b506a7f409bd2e8792d,eligible,34.12370258796727,33,29,True,True,0.17663783474062078,1.0,198.0,1.0,174.0,0.9942528735632183,174.0
monkeyM_session-o080506002-22_lfp-2,M,o080506002-22,2008-05-06,2,410,410,5000,4500,4500,5000,166,7a55eff8667998cefe4610be131bcb117bc7dad9070a6869bd26f82cdaae5441,eligible,41.52631358098006,33,29,True,True,0.24997042460193403,0.9949494949494949,198.0,0.9942528735632183,174.0,0.9885057471264368,174.0
monkeyM_session-o080507002-11_lfp-1,M,o080507002-11,2008-05-07,1,242,242,5000,4500,4500,5000,172,d5ef27e60ad3420085d11ebd5185165ce931c81ade9aa700fd2bb23aff30f8ca,eligible,71.99556981300702,20,20,True,True,0.17829680997335257,0.9983333333333333,120.0,0.9983333333333333,120.0,0.9966666666666667,120.0
monkeyM_session-o080507012-23_lfp-1,M,o080507012-23,2008-05-07,1,233,233,5000,4500,4500,5000,177,34c7aef75ab1ef700202478cef8703d1d63631171cd08fc1b28b7293f6f69b02,eligible,123.02521528000943,18,17,True,True,0.1644584481511261,0.9907407407407407,108.0,0.9921568627450981,102.0,0.996078431372549,102.0
monkeyM_session-o080507012-23_lfp-2,M,o080507012-23,2008-05-07,2,233,233,5000,4500,4500,5000,176,363ab54d7895bfe3160176dc07be3c4f44b3f99b478431ba749c12ec97b0d7fa,eligible,180.00680819503032,18,17,True,True,0.20654122771035754,0.9888888888888889,108.0,0.996078431372549,102.0,0.9862745098039216,102.0
monkeyM_session-o080509001-9_lfp-1,M,o080509001-9,2008-05-09,1,227,227,5000,4500,4500,5000,179,ec7ac649acbaab612b2cbc1119036e07a5708c5bfdd613be34d037074037a798,eligible,89.46616494795308,16,18,True,True,0.22188686369927713,0.99375,96.0,0.99375,96.0,0.9958333333333333,96.0
monkeyM_session-o080509010-19_lfp-1,M,o080509010-19,2008-05-09,1,232,232,5000,4500,4500,5000,181,292d08b7aafeff1b738f4df3742117b22fa58e013cfac58c8590a63ac5334bbe,eligible,141.97603769396665,19,15,True,True,0.21281851065935034,0.9912280701754386,114.0,0.9977777777777778,90.0,0.9955555555555555,90.0
monkeyM_session-o080513001-9_lfp-1,M,o080513001-9,2008-05-13,1,224,224,5000,4500,4500,5000,186,517db8dbd5c697aa47c64788291cec2effc3d11f02fa92e09901c8dd0fe14f9f,eligible,73.12769176100846,17,17,True,True,0.24004365736354807,0.9901960784313726,102.0,0.9901960784313726,102.0,0.9901960784313726,102.0
monkeyM_session-o080513001-9_lfp-2,M,o080513001-9,2008-05-13,2,224,224,5000,4500,4500,5000,185,387fa871d39c248c20d9281b3b4d409e9dbee2fe1e1d7a8e6629643062191804,eligible,76.63336801697733,17,17,True,True,0.17497191101793136,0.9862745098039216,102.0,0.9862745098039216,102.0,0.9882352941176471,102.0
monkeyM_session-o080513010-18_lfp-1,M,o080513010-18,2008-05-13,1,225,225,5000,4500,4500,5000,190,eb57cc81e73b655df88b3c17840fcb47e6bcfd50dade8d87d5f66804077714cd,eligible,148.09095745702507,18,15,True,True,0.22651405639445352,0.9925925925925926,108.0,0.9911111111111112,90.0,0.9933333333333333,90.0
monkeyM_session-o080513010-18_lfp-2,M,o080513010-18,2008-05-13,2,225,225,5000,4500,4500,5000,189,c1be5348acd1b4ee1c20bfd04ab00ab86e3f7118c80e621a4d250000900f2177,eligible,40.90877116302727,18,15,True,True,0.14526703897574497,0.9814814814814815,108.0,1.0,90.0,0.9777777777777777,90.0
monkeyM_session-o080514007-17_lfp-1,M,o080514007-17,2008-05-14,1,198,198,5000,4500,4500,5000,194,d67e6e32dd9fb6853c33329285f68dd1807bb0e9f42e5e5406f255c0bd1ce6af,fewer_than_15_short_trials_per_direction,0.028226536000147462,14,14,False,False,,,,,,,
monkeyM_session-o080515002-11_lfp-1,M,o080515002-11,2008-05-15,1,245,245,5000,4500,4500,5000,199,973b61a2d8c7fad8a6a696407e31cc67ff02f15486c88c18fcdf142e56bd0fae,eligible,66.02646097703837,20,20,True,True,0.18624614020538338,1.0,120.0,1.0,120.0,0.9883333333333333,120.0
monkeyM_session-o080515002-11_lfp-2,M,o080515002-11,2008-05-15,2,245,245,5000,4500,4500,5000,197,e03ed99a1135fa5a16579ef1f033270e3fa82022a9445ca0b8cec41e5658c97f,eligible,28.75836335698841,20,20,True,True,0.17514853321685497,1.0,120.0,1.0,120.0,1.0,120.0
monkeyM_session-o080515012-24_lfp-1,M,o080515012-24,2008-05-15,1,292,292,5000,4500,4500,5000,203,446ecd55455222006f9f979ee714db60333214ab1705375723e6da35bdbc30ff,eligible,41.08883858699119,21,23,True,True,0.17733606049084416,1.0,126.0,1.0,126.0,0.9968253968253968,126.0
monkeyM_session-o080515012-24_lfp-2,M,o080515012-24,2008-05-15,2,292,292,5000,4500,4500,5000,202,3d7113ec969ba4b4129d8152b7929421f03baf241249c9ae7e4ee3258750a166,eligible,62.552239369018935,21,23,True,True,0.18749581103594073,1.0,126.0,1.0,126.0,1.0,126.0
monkeyM_session-o080516002-14_lfp-1,M,o080516002-14,2008-05-16,1,167,167,5000,4500,4500,5000,206,b665336a46276ab9b4a4dda49ca69fee55c7d1eeffd3b5592805fce8fedec64f,fewer_than_15_short_trials_per_direction,0.022277417010627687,9,10,False,False,,,,,,,
monkeyM_session-o080516002-14_lfp-4,M,o080516002-14,2008-05-16,4,167,167,5000,4500,4500,5000,204,1036b3f9fd9819290b7905cd4ec9a24e2921c1141e9a47ef17ac5379a9678ae8,fewer_than_15_short_trials_per_direction,0.016924370953347534,9,10,False,False,,,,,,,
monkeyM_session-o080516015-26_lfp-5,M,o080516015-26,2008-05-16,5,155,155,5000,4500,4500,5000,210,2b3946947aaa843f8787e39de88fd263912747cb4be2e88ad939a599ae96ad49,fewer_than_15_short_trials_per_direction,0.015465294010937214,11,12,False,False,,,,,,,
monkeyM_session-o080520001-6_lfp-2,M,o080520001-6,2008-05-20,2,101,101,5000,4500,4500,5000,216,20d940d2fb33cac353cc55876257b97d018f058035978aa7dae81d5fae058ee1,fewer_than_15_short_trials_per_direction,0.013738726964220405,0,0,False,False,,,,,,,
monkeyM_session-o080520001-6_lfp-4,M,o080520001-6,2008-05-20,4,101,101,5000,4500,4500,5000,215,d54aabaaa028a4c0a41c6b87300881a87f729e81ef12587cedf39ddcbf3efa9a,fewer_than_15_short_trials_per_direction,0.011666224978398532,0,0,False,False,,,,,,,
monkeyM_session-o080520007-14_lfp-2,M,o080520007-14,2008-05-20,2,53,53,5000,4500,4500,5000,219,9743355bc9b719f82c09267df246fedd2e43f2998c64b79ba72be5a363fe895e,fewer_than_15_short_trials_per_direction,0.00819381297333166,0,0,False,False,,,,,,,
monkeyM_session-o080520007-14_lfp-4,M,o080520007-14,2008-05-20,4,53,53,5000,4500,4500,5000,218,f2e05482ae9ea03a1f41254f6f9eb7563bdbc4f31f15b270e7a4cf6adbc1f186,fewer_than_15_short_trials_per_direction,0.008245987992268056,0,0,False,False,,,,,,,
monkeyM_session-o080521001-5_lfp-1,M,o080521001-5,2008-05-21,1,66,66,5000,4500,4500,5000,223,7c035b08a6d18231824a3858a8169d0785bd97279d62bb39f50802f1c996f6af,fewer_than_15_short_trials_per_direction,0.01016190298832953,0,0,False,False,,,,,,,
monkeyM_session-o080521006-9_lfp-1,M,o080521006-9,2008-05-21,1,86,86,5000,4500,4500,5000,226,36d7fcb8b97f1cd8db34dd175fb4c6a082d2ee89fafbda6a30bfd51eeea6de08,fewer_than_15_short_trials_per_direction,0.009646578051615506,0,0,False,False,,,,,,,
monkeyM_session-o080521010-13_lfp-2,M,o080521010-13,2008-05-21,2,122,122,5000,4500,4500,5000,229,a288054155ebc2325208193a5dff7c27ef2e31aea3e74c1b82cd3c6788c72bcf,fewer_than_15_short_trials_per_direction,0.01329421903938055,0,0,False,False,,,,,,,
monkeyM_session-o080521010-13_lfp-5,M,o080521010-13,2008-05-21,5,122,122,5000,4500,4500,5000,228,876cc2d5b0ff9c9be5f9d7f0c73f75fbf2cabfe452d594a418d3cac91553c3fc,fewer_than_15_short_trials_per_direction,0.012544046971015632,0,0,False,False,,,,,,,
monkeyM_session-o080521014-17_lfp-1,M,o080521014-17,2008-05-21,1,115,115,5000,4500,4500,5000,232,f82c0d563c2cf2b407db0495523245fcbb8feea4839d5e5088dbf062b6d49aab,fewer_than_15_short_trials_per_direction,0.012659717991482466,0,0,False,False,,,,,,,
monkeyM_session-o080521014-17_lfp-2,M,o080521014-17,2008-05-21,2,115,115,5000,4500,4500,5000,231,345602af42d300e88fcc88ab43135cfa14efac5ca5c3014ba536687173343cd4,fewer_than_15_short_trials_per_direction,0.01131759601412341,0,0,False,False,,,,,,,
monkeyM_session-o080522001-4_lfp-1,M,o080522001-4,2008-05-22,1,97,97,5000,4500,4500,5000,235,48a4bac3df0ea98ace0c335a5b15ddd9580549d5652255835328ebc0081e6bc0,fewer_than_15_short_trials_per_direction,0.011445272015407681,0,0,False,False,,,,,,,
monkeyM_session-o080522001-4_lfp-2,M,o080522001-4,2008-05-22,2,97,97,5000,4500,4500,5000,233,676a751661fc1d07cb0c68e3d34867ff14e96e7e35f4c138e4c137665047b217,fewer_than_15_short_trials_per_direction,0.010474051989149302,0,0,False,False,,,,,,,
monkeyM_session-o080522005-11_lfp-1,M,o080522005-11,2008-05-22,1,236,236,5000,4500,4500,5000,239,ce1c5552193f8777ad57bc52dcb763b2776ddfdeb78963507d3c692a7f948625,eligible,68.77321017399663,18,19,True,True,0.20208897332171225,0.9981481481481481,108.0,0.9981481481481481,108.0,0.9981481481481481,108.0
monkeyM_session-o080522005-11_lfp-2,M,o080522005-11,2008-05-22,2,236,236,5000,4500,4500,5000,238,2de4ccee319414854d571f0fa96d153f18a48395f81b90b9bb55825af7d833ec,eligible,75.97932291805046,18,19,True,True,0.20603602766379567,0.9907407407407407,108.0,0.9907407407407407,108.0,0.9944444444444445,108.0
monkeyM_session-o080522012-21_lfp-1,M,o080522012-21,2008-05-22,1,282,282,5000,4500,4500,5000,248,44ffc67092ed881141968058164840fe66c1c537b1bfa30fafe967cad480acd6,eligible,100.437136670982,24,22,True,True,0.20937335228390558,1.0,144.0,0.996969696969697,132.0,0.990909090909091,132.0
monkeyM_session-o080522012-21_lfp-2,M,o080522012-21,2008-05-22,2,282,282,5000,4500,4500,5000,246,0b119eb40c43f7609f2d99362d8ee67118f017c52d8f6ec93e950eb00b12adb6,eligible,259.57274517801125,24,22,True,True,0.21601015051956868,0.9875,144.0,0.9924242424242424,132.0,0.990909090909091,132.0
monkeyM_session-o080523010-18_lfp-4,M,o080523010-18,2008-05-23,4,187,187,5000,4500,4500,5000,255,9d924d4b64fc0c8e60ca90ca7524ce86ebd541421464c32450b1fbcd90bc024b,eligible,8.356258222949691,15,12,True,False,0.17057320440309748,0.9888888888888889,90.0,,,,
monkeyM_session-o080523010-18_lfp-8,M,o080523010-18,2008-05-23,8,187,187,5000,4500,4500,5000,258,e3a18bfdd5c4e4a1963cf381b0a0d05f3d185cb4caa016bf17e035476aa98761,eligible,46.46081277000485,15,12,True,False,0.20704184521389085,0.9911111111111112,90.0,,,,
monkeyM_session-o080527001-5_lfp-1,M,o080527001-5,2008-05-27,1,119,119,5000,4500,4500,5000,261,1c6efca6b07ad2899272575a77555ac5faedae38bc524db8a1300432bd23bbc0,fewer_than_15_short_trials_per_direction,0.01842450100230053,0,0,False,False,,,,,,,
monkeyM_session-o080527001-5_lfp-2,M,o080527001-5,2008-05-27,2,119,119,5000,4500,4500,5000,260,15c9531679701fe1f4dcb1bb3f9ff6bbfcb46a5635c94fdd20694ef02059c3e9,fewer_than_15_short_trials_per_direction,0.014591352955903858,0,0,False,False,,,,,,,
monkeyM_session-o080527006-16_lfp-1,M,o080527006-16,2008-05-27,1,290,290,5000,4500,4500,5000,269,46dfeb23fa9b96b457dc32153cfb0154571312ddfb0f42b76f46cee03eabc483,eligible,67.89561111299554,24,24,True,True,0.20984231527680275,0.9930555555555556,144.0,0.9930555555555556,144.0,0.9972222222222222,144.0
monkeyM_session-o080527006-16_lfp-2,M,o080527006-16,2008-05-27,2,290,290,5000,4500,4500,5000,265,f0ac326bc70bd923619ecde6da831598ad59ed121f36d6029a3fb779f97eec9c,eligible,103.43547749600839,24,24,True,True,0.21684586742084255,1.0,144.0,1.0,144.0,0.9986111111111111,144.0
monkeyM_session-o080528001-5_lfp-1,M,o080528001-5,2008-05-28,1,86,86,5000,4500,4500,5000,275,1ffbb8fcc149b104dbb2c61fca5ad105ddf45a2caa9ca2968c51940cc7902019,fewer_than_15_short_trials_per_direction,0.014829619030933827,0,0,False,False,,,,,,,
monkeyM_session-o080528006-15_lfp-2,M,o080528006-15,2008-05-28,2,242,242,5000,4500,4500,5000,285,c591c2c19f4a931cd717a320da44a4ac1967a30289e5088f65e8368f5577ab54,eligible,167.7928908690228,20,16,True,True,0.16079744506787047,0.9866666666666667,120.0,0.9916666666666667,96.0,0.9958333333333333,96.0
monkeyM_session-o080528006-15_lfp-4,M,o080528006-15,2008-05-28,4,242,242,5000,4500,4500,5000,281,c7c753d55350bc711f7637215decd435edc184af961fc69290946f4f7054ccc9,eligible,92.40996152098523,20,16,True,True,0.1793990150896744,1.0,120.0,1.0,96.0,0.9895833333333334,96.0
monkeyM_session-o080528016-25_lfp-2,M,o080528016-25,2008-05-28,2,192,192,5000,4500,4500,5000,296,f8abad9396b27bc650e612ad3829a5c9dc4be5f65a1fb352544de0a8b9d83a01,eligible,53.80252269800985,15,12,True,False,0.12890610903633187,0.9888888888888889,90.0,,,,
monkeyM_session-o080528016-25_lfp-4,M,o080528016-25,2008-05-28,4,192,192,5000,4500,4500,5000,293,4f718445f33ca2a7480b5509a06edcb6d62b4bfecb855beb30d7d4d748fdbee6,eligible,27.114487047947478,15,12,True,False,0.1422358702409086,0.9866666666666667,90.0,,,,
monkeyM_session-o080710002-4_lfp-5,M,o080710002-4,2008-07-10,5,96,96,5000,4500,4500,5000,306,bc47521851ba5e2ebf447d8ddaedadc99ccc0c34dd72730f23d58854f294a739,fewer_than_15_short_trials_per_direction,0.018658476998098195,0,0,False,False,,,,,,,
