row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,window_index,trial_index,stage,stage_name,start_sample,end_sample_exclusive,event_sample,preprocessing_error,cloud_sha256
11,26,124,1,2,short,66,11,0,pre_TC,2584,2884,2884,,f40a5ca54a3f3b4c1d5e03846351caf7e669ab71aae03de7ed125414f00c37b7
11,26,124,1,2,short,67,11,1,post_TC,2884,3184,2884,,1e76856909a7d6e28c08b651ca806a8438d586398759f89e7be1a793c0ecf4a2
11,26,124,1,2,short,68,11,2,pre_SC,3462,3762,3762,,3ac46cb900fde025b1d71edc3cfd90fc247659a8021445916c992ad3e18235a9
11,26,124,1,2,short,69,11,3,post_SC,3762,4062,3762,,97975de95bb99c45f69a83cd4b35cbfd4e8c630cd8220ea7be190898730d093a
11,26,124,1,2,short,70,11,4,pre_GO,4200,4500,4500,,f0539ebff40359cb9ee3d7363123a221a78f2eb90f2821728ab2397c29782fb1
11,26,124,1,2,short,71,11,5,post_GO,4500,4800,4500,,30ec4ee8d51c9b4486d1a989b64bfc1a61b9c6c030439863c6e55e5e5906d098
12,29,526,1,3,short,72,12,0,pre_TC,2584,2884,2884,,309944658595e88ff14b15db6870155a1ae4a90dc9ffd213e38cbb500fd8c2ad
12,29,526,1,3,short,73,12,1,post_TC,2884,3184,2884,,9b8e5aa30725161a85e5915254f7f9509924c0c69af352a7ce0a43cba67168d4
12,29,526,1,3,short,74,12,2,pre_SC,3463,3763,3763,,1b6b516d8a60d8a3da5ad28ff6402e93174b70863c3fce77eba1accaa94ebcf5
12,29,526,1,3,short,75,12,3,post_SC,3763,4063,3763,,697e6bf6863ece30b2707b12490ec37a46e51058eed43a10f439e7313ecb9ab6
12,29,526,1,3,short,76,12,4,pre_GO,4200,4500,4500,,49c582d43cbec5796552a8f7c591291dc85057f4ccc3d0cb4f2344c21e0156cf
12,29,526,1,3,short,77,12,5,post_GO,4500,4800,4500,,20e2450013d36cc2d1e90653831411416af5d8dbfc460a53e49fcc0bc28f7977
13,7,382,1,2,short,78,13,0,pre_TC,2580,2880,2880,,004c59b1bc931e7fdfbb2309f835a557bcbb1cefda847406fcf0bd2399e19e26
13,7,382,1,2,short,79,13,1,post_TC,2880,3180,2880,,81319146d7d5a289b2ee905132761311fa5be807950d80b3e0f7e5a8f53aba8d
13,7,382,1,2,short,80,13,2,pre_SC,3459,3759,3759,,0668c715cd3cdb3c3c88add68ff9f56371ec54770e23e9f212772862418debb6
13,7,382,1,2,short,81,13,3,post_SC,3759,4059,3759,,a49653b8d5cab35408a4b491cc7ad048d14e8d091ed6176db99a2a7bc2f9c1f7
13,7,382,1,2,short,82,13,4,pre_GO,4200,4500,4500,,c8aa9589d4da96142ef86bfb25b0f6c7c3e44e9bc2b90e87661401415f1bfa89
13,7,382,1,2,short,83,13,5,post_GO,4500,4800,4500,,fc39dc15292ce36c8f286f991edf9055faec88aba6fade003eaa0bd44de56fb8
14,32,80,1,2,short,84,14,0,pre_TC,2578,2878,2878,,cf27d7b2e128126110a2a99fb158df87574d4c3526fd84124c54e222b5466d92
14,32,80,1,2,short,85,14,1,post_TC,2878,3178,2878,,dabbcf640eeeb30bf16da8a4b20aaf11f6eddfe2e2c7d156f8bf28635499ffdd
14,32,80,1,2,short,86,14,2,pre_SC,3463,3763,3763,,b7e4b745180e62ff0a7b5413871116fee0df97ffbeb359642a68f3e3e4f37435
14,32,80,1,2,short,87,14,3,post_SC,3763,4063,3763,,62c0f8758de80955a0b8eb35c154c7cebbfd3a713e8ead308aefc8b8936213b6
14,32,80,1,2,short,88,14,4,pre_GO,4200,4500,4500,,1ac5ec3c7fa54074ca4b1490530ecb5eeb86d801d1424932fcc6e16cd547bab7
14,32,80,1,2,short,89,14,5,post_GO,4500,4800,4500,,0bc03ce49c689bb7f29a636a3ab824573e0f29974b662cbfb8bca06d14620244
15,27,366,1,1,short,90,15,0,pre_TC,2583,2883,2883,,ee4f6e2ef7fa70fe1470822920bf3eb4d0ee6ba020d0b5b357c17a8e7225751d
15,27,366,1,1,short,91,15,1,post_TC,2883,3183,2883,,b86198afa88521bb02a501545b15fdfa93bb6f64c8efea4c79a2bb98faafe30a
15,27,366,1,1,short,92,15,2,pre_SC,3462,3762,3762,,5fcac4d47bb76f3a8698bb895a66696c2a9f9af2637225f485c74fc5bc4f5377
15,27,366,1,1,short,93,15,3,post_SC,3762,4062,3762,,0804444136e436198eae9a6cebac4b120df81174e11d458838387683522a6ee2
15,27,366,1,1,short,94,15,4,pre_GO,4200,4500,4500,,d5a9f2c8fc949f8d045c46717ba3e2f9f10b7ed7f8dbee9e5fc9f2691be04da7
15,27,366,1,1,short,95,15,5,post_GO,4500,4800,4500,,5adba138bf9b71b3b3c6cc4101bbe91045c4346099cbbf19b1caf19f57fb2326
16,21,156,1,1,short,96,16,0,pre_TC,2583,2883,2883,,2ba6a4f64ee32847992a1d55acd1920ae9f3682ef90a73ce85caa3283539d97c
16,21,156,1,1,short,97,16,1,post_TC,2883,3183,2883,,ba55e96a191abf6c07d38409a237bbe9e96b71da8bceb14782dbbb26a8776e4a
16,21,156,1,1,short,98,16,2,pre_SC,3462,3762,3762,,1a4a2efe04eb0595af0d982277d5197b5f7b4af88dfb05d49f3ca912d8dc555e
16,21,156,1,1,short,99,16,3,post_SC,3762,4062,3762,,d3249d23d3e5c0cf7126f144e4db25ebf2fa787b7b1fd0ce7999185e2b4cd01d
16,21,156,1,1,short,100,16,4,pre_GO,4200,4500,4500,,9a7d605cd28a2e24a0f733c0389a2362011adb67c79f79194ed29e8989469718
16,21,156,1,1,short,101,16,5,post_GO,4500,4800,4500,,f689113d19452197cb799d63195f067163da3566cf4f8463c1f7a8cae2a58845
17,33,690,1,1,short,102,17,0,pre_TC,2584,2884,2884,,2ffcce73c2cedec093118a7a85dbb5b7b5dcd9bf99226d3379cc4b2e4412c92b
17,33,690,1,1,short,103,17,1,post_TC,2884,3184,2884,,a23420596ca9504d33db7d547a3b5e352f07edf8c1df0cbfca3f10cf2160fed9
17,33,690,1,1,short,104,17,2,pre_SC,3462,3762,3762,,fd813c8d1819945bbf25f8ad9decc5155e60e81eb265484ef190ef25a9dddf31
17,33,690,1,1,short,105,17,3,post_SC,3762,4062,3762,,b92bd9d3b0aadc1afee73d0128a15cf26293a1bead74dc02dacc378ad74ebb2c
17,33,690,1,1,short,106,17,4,pre_GO,4200,4500,4500,,2f69433935c4631655275cdb0f176cc4f64677b5dc1ff8b1cd0c2368cc9ab464
17,33,690,1,1,short,107,17,5,post_GO,4500,4800,4500,,c49c2dda05ed4a5b0ca14d8520eb5710fb14c73ea3ff695707d6fd57ceedf828
18,18,265,1,0,short,108,18,0,pre_TC,2584,2884,2884,,3ab676015d25e023274263e59f0edd8d60f984fd644e859d27764bfd5619786b
18,18,265,1,0,short,109,18,1,post_TC,2884,3184,2884,,ac1d9b57b282d3372344f50d434fabdfdfd7c7ba3f4a9ac5548da0a787a79ef2
18,18,265,1,0,short,110,18,2,pre_SC,3463,3763,3763,,5c730d4465547b6ed421ad552490fadd6f831368c6bd793de27fbefdf455e0cc
18,18,265,1,0,short,111,18,3,post_SC,3763,4063,3763,,dd3a1d4988fef47677e380c1c3d8a05371775f4e56d906f0003207f1de2d3f4e
18,18,265,1,0,short,112,18,4,pre_GO,4200,4500,4500,,7114f12efa9fd53d9021d01fd67d9061fbc687d1d0897c77929cd1c9ed88f980
18,18,265,1,0,short,113,18,5,post_GO,4500,4800,4500,,6162598a6e23786cac5b0903e1d1ab2961c399653bef3225b2745f06b03db0fc
19,11,445,1,1,short,114,19,0,pre_TC,2584,2884,2884,,11d03401014031c358daa783c7f1425a2d4f222a205f2eb4dcc6156aa0e2fe40
19,11,445,1,1,short,115,19,1,post_TC,2884,3184,2884,,4508fd60ac5f2ae453d015cbe34ad85cb6da5188cc2040442a0ce697442ffe6e
19,11,445,1,1,short,116,19,2,pre_SC,3463,3763,3763,,c016dba2791873a59e285f26359c9404fb7f7fc9ed69cc092dda6783d29944ca
19,11,445,1,1,short,117,19,3,post_SC,3763,4063,3763,,87d3992afd73574565f011b4dacf77d1695387a7e303e3ec4d0a18595ce7a789
19,11,445,1,1,short,118,19,4,pre_GO,4200,4500,4500,,2c5e82405ccf84b9a64ccdcf51eeee8375a5a53e481a34a5a9b67387ec1b53b7
19,11,445,1,1,short,119,19,5,post_GO,4500,4800,4500,,0ab84c86fd91d2c4b27eb95c6a397357bf5d5898d78207ff8eab9c88ef4b6e54
20,4,462,1,2,short,120,20,0,pre_TC,2584,2884,2884,,78c9d5aa8930fd8cb8c7809b950830df5d1c02c6a0530644788a9f376433fbdf
20,4,462,1,2,short,121,20,1,post_TC,2884,3184,2884,,98b83e88e61abd8323fb3067cc3561204a620cbce00ef0fc9b45a35216645d54
20,4,462,1,2,short,122,20,2,pre_SC,3463,3763,3763,,550551e96a4f942f7e400496a2cc9f04847cda400107c82685508a3d7d774a4d
20,4,462,1,2,short,123,20,3,post_SC,3763,4063,3763,,5f410d88ce552e7516dbc369c549c10803715a98f2223a9261ca03bb691e2f03
20,4,462,1,2,short,124,20,4,pre_GO,4200,4500,4500,,e8a371e12f0b51b44f67513d06dd55e6f0dc5c94e420771b19ee2344b68448d6
20,4,462,1,2,short,125,20,5,post_GO,4500,4800,4500,,1e1baece339683f5e0d41fc12106d6b5db67da36e8f13a6f3dfab167cb613f37
21,14,152,1,3,short,126,21,0,pre_TC,2584,2884,2884,,b8afebea43343c1d55a5eaaf1035143c953bd2e21082329cdf83047d4a745cea
21,14,152,1,3,short,127,21,1,post_TC,2884,3184,2884,,7e1e90530fed4fefd92c77d8b8ace7abe2837cf9d14002f168b6cdf31a175cc3
21,14,152,1,3,short,128,21,2,pre_SC,3463,3763,3763,,553a066db3157df4c6af04354b48d3da15250329d2939fb5583e74a945b674fa
21,14,152,1,3,short,129,21,3,post_SC,3763,4063,3763,,da1e2e35995d417b694240d972e7fde760eadc8dc36f412ea0d578146da72435
21,14,152,1,3,short,130,21,4,pre_GO,4200,4500,4500,,ceae81260d0d1dc5a6c42066e3590ee9450696421a347afab6bf3ea9a60a3bad
21,14,152,1,3,short,131,21,5,post_GO,4500,4800,4500,,e87654f3cdcee2b47971fb69c1fc34d6d33091b8f447b9a44870dc668187bd1b
22,25,188,1,0,short,132,22,0,pre_TC,2583,2883,2883,,aceed2ff6645bf328e8dfbe87dcd527ed74b8b6dbba1863f0440edda572c60bc
22,25,188,1,0,short,133,22,1,post_TC,2883,3183,2883,,ac8aed235f03a59dbfd0b2b7272e1df6d4c09ae380f27f4964486492db8c0a5b
22,25,188,1,0,short,134,22,2,pre_SC,3462,3762,3762,,d15ea1820b42de61f290409079d116dff8f0fcd963709cad9b4b45ad65c019b1
22,25,188,1,0,short,135,22,3,post_SC,3762,4062,3762,,3aa8a1a211d3ddc3dca6b72219ca22f24a1eb6b147cd4160aa334b9a55bb398f
22,25,188,1,0,short,136,22,4,pre_GO,4200,4500,4500,,b456b3933d3b909a5f8fb7096eae25375c34ebe6f14193ffebff4f776eae36cc
22,25,188,1,0,short,137,22,5,post_GO,4500,4800,4500,,6d9718665c46a9270dd0706656a691d7441b65a821e4caccc789df68aee6960a
23,17,195,1,1,short,138,23,0,pre_TC,2578,2878,2878,,7e20947b153f95b4a65f224a1a67b58d94535f7c652afdf9a4d8f90908c0151a
23,17,195,1,1,short,139,23,1,post_TC,2878,3178,2878,,f652bcc9038473dd9f66a0d652dee46f527c00c3f5ff26bd64dce5b6dc0853ed
23,17,195,1,1,short,140,23,2,pre_SC,3462,3762,3762,,62410b6dd7da5ab13a8a435c79d3a0655d7e0f359bd42c0f0d11097467678249
23,17,195,1,1,short,141,23,3,post_SC,3762,4062,3762,,024655f41062fe0a3236b395042151fc0057f91c614729720d7f7f0ef571f22f
23,17,195,1,1,short,142,23,4,pre_GO,4200,4500,4500,,ed8729ff6d163cc5f20e4ee8d32d5154ac04d6e879f82a4a0691c34355c95f97
23,17,195,1,1,short,143,23,5,post_GO,4500,4800,4500,,22e20212e1b271af6ed94948f54bf4c62c6bb12cc8e7e8138b4b2736ed532714
24,16,205,1,4,short,144,24,0,pre_TC,2584,2884,2884,,a6684ca5364b0820c9339c891957f897e29efac121318f7384f06fe2fa32e8de
24,16,205,1,4,short,145,24,1,post_TC,2884,3184,2884,,61d38ef20c1422fcfdf5f77bac916bc9b66daea7309754eba3ac52dc47365e02
24,16,205,1,4,short,146,24,2,pre_SC,3463,3763,3763,,5e07cddda564a941a0cd892e7bc0e50b1f5be4deb379923c5670f1ba77bac89d
24,16,205,1,4,short,147,24,3,post_SC,3763,4063,3763,,67e41e7bade637a3c532ea1635dcda801b00e99630693d17c04bf070668ec6cd
24,16,205,1,4,short,148,24,4,pre_GO,4200,4500,4500,,b355b981ec91e5a5492363c1681e35bc2055c9cb482097586d4d32b0f4fbd612
24,16,205,1,4,short,149,24,5,post_GO,4500,4800,4500,,19199c1d678127bdf5c2e56c3bd18ed66e38b14c5ac1a305c93f02f9ba8fa590
25,24,262,1,0,short,150,25,0,pre_TC,2584,2884,2884,,5b7e747aab264700d0fef2ad72bf59aa87c73c45ef75f240ae0bf33331249a1c
25,24,262,1,0,short,151,25,1,post_TC,2884,3184,2884,,43520f280a1139e6c1e83e7c17da3c23ca40aef32f44fcf4bceb986c41a4a45f
25,24,262,1,0,short,152,25,2,pre_SC,3463,3763,3763,,cece3f72eff51c24846c94f3f8dbca217e6e1bb0b4a28a0abef131c5cbb66658
25,24,262,1,0,short,153,25,3,post_SC,3763,4063,3763,,99f8636e97c1b02b2e7794c55eec2c8235b26b2f0bdeeedd1248e833bddacefc
25,24,262,1,0,short,154,25,4,pre_GO,4200,4500,4500,,78f571efa8f5ab2278a45499e599fefd6be678b35f98a077f2ccbdf785b79ccf
25,24,262,1,0,short,155,25,5,post_GO,4500,4800,4500,,7482cc2f53116191b7881bec916a90d6591ad5c25457ab12265b74756433d7f6
26,1,571,1,0,short,156,26,0,pre_TC,2567,2867,2867,,8d51e3448b7a2ae3519b73bb25e5f8581900bc618ae74146cd07f20332809ded
26,1,571,1,0,short,157,26,1,post_TC,2867,3167,2867,,6e60b1bfdf0b236b814c8aec48015ae0ace1e5da0b3fdc5da92fb581b5b0f332
26,1,571,1,0,short,158,26,2,pre_SC,3454,3754,3754,,e5c37b553aba83db49c9443d602a7fbbd6f2dd68cdb06c08d1ccb1a4d739b1f7
26,1,571,1,0,short,159,26,3,post_SC,3754,4054,3754,,4b451a51984768d41d9b2bccba73c2e0ffc43b19d9ead7530d77877820db07da
26,1,571,1,0,short,160,26,4,pre_GO,4200,4500,4500,,d15247aab3e4390528293236aae10845689df0bac27ade405719c346ad9cb258
26,1,571,1,0,short,161,26,5,post_GO,4500,4800,4500,,e644db724bd8c419c586612f1c528088df6bd8c1a53fa41978f62cffef9a9e6a
27,0,601,1,3,short,162,27,0,pre_TC,2579,2879,2879,,64f6e04de975beac9045947e6e869c32a335f03ef59a9fcfc2c7b31f64caeb81
27,0,601,1,3,short,163,27,1,post_TC,2879,3179,2879,,5095da2f32b3422355125a56b63f6ca99b5f221fdaccf62d1c4e38ef57814d7d
27,0,601,1,3,short,164,27,2,pre_SC,3463,3763,3763,,7644c545387db3f664904be39ab4c8e48bab82a1321aeb8a3be420a0a8e2a99d
27,0,601,1,3,short,165,27,3,post_SC,3763,4063,3763,,ff1e2556d90572d8c95a6660db653d646225d5303f0333a547d3df8ddf628ba2
27,0,601,1,3,short,166,27,4,pre_GO,4200,4500,4500,,0f43b696c42211b523d5d8e9f15836d9cfcae601099932e0371017be649fa71d
27,0,601,1,3,short,167,27,5,post_GO,4500,4800,4500,,c4c58032061c20903c9cb1b66f9689f4ae6548e52b1ca27d4fa55be651c7bff1
28,8,349,1,1,short,168,28,0,pre_TC,2583,2883,2883,,dc0387d296b0ffd80fa2df5429f7c1a41da8e438f8c5dbfdf2533eaf4325d76b
28,8,349,1,1,short,169,28,1,post_TC,2883,3183,2883,,47cb9dec984fb4fa3f13baf37003bb81ccf0ca3aa6e863f50db174c8234a67a9
28,8,349,1,1,short,170,28,2,pre_SC,3462,3762,3762,,6ac87665bc9b6013b191b046773b14eb6041034b121c709b9fb979cfc926fe98
28,8,349,1,1,short,171,28,3,post_SC,3762,4062,3762,,8ed0737850bb647767509c96910574e2172250885b5318a850e89af31bee37d2
28,8,349,1,1,short,172,28,4,pre_GO,4200,4500,4500,,dd9b9f886407ce7a2373d110444e08c34e945a2b7021ca55736018ecf9ebbede
28,8,349,1,1,short,173,28,5,post_GO,4500,4800,4500,,ee205e8fe791785f34aaaa93c5873aaea44d5915f6fd8949c313ec81ab634075
29,3,236,1,0,short,174,29,0,pre_TC,2567,2867,2867,,9d74de383d1b2242e3ff35f7ec2df7bc16d44dbe42452f6ded31c7fd83bdeabe
29,3,236,1,0,short,175,29,1,post_TC,2867,3167,2867,,33eb3e564824dd764dbe5cf5f2cc5fdbb86ee559699a7e434f611e578f662420
29,3,236,1,0,short,176,29,2,pre_SC,3455,3755,3755,,223acc5f23a44428f11c8b174f6468e67851309233cf141dda5842a14b024128
29,3,236,1,0,short,177,29,3,post_SC,3755,4055,3755,,16be5bc039c83dcb5eb0f0aa8e1f700db36b477545eb54a83d9b3bbefa5d8415
29,3,236,1,0,short,178,29,4,pre_GO,4200,4500,4500,,99ce9b36ed9c36ef7d7448a1d1db35659d40e55b2d74c65a6fd80131bdf8ce4e
29,3,236,1,0,short,179,29,5,post_GO,4500,4800,4500,,73d79d0b4ce69e67a372a02a060751f4ab84985042c4d7410dd7680a3518acd6
